diet,income,alcohol,physical_activity,sleep_duration,sleep_frailty,number_of_friends,church_frequency,education_level,n
Poor,Q3,2-4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,weekly,some college,2
Poor,Q1 (Lowest),0-1 drink/day,Some Activity,7-<9 hours,Q4 (highest),1+ friends,never,some college,2
Poor,Q1 (Lowest),0-1 drink/day,Some Activity,7-<9 hours,Q4 (highest),1+ friends,sometimes,some college,2
Good,Q3,0-1 drink/day,No Activity,7-<9 hours,Q1 (lowest),1+ friends,never,some college,2
Poor,Q3,2-4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,never,no highschool,2
Poor,Q2,0-1 drink/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,never,no highschool,2
Good,Q4 (Highest),0-1 drink/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,weekly,some college,2
Poor,Q1 (Lowest),>4 drinks/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,sometimes,no highschool,2
Good,Q3,2-4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,sometimes,high school,2
Poor,Q4 (Highest),0-1 drink/day,No Activity,5-<7 hours,Q4 (highest),1+ friends,weekly,some college,2
Good,Q4 (Highest),0-1 drink/day,Some Activity,5-<7 hours,Q1 (lowest),1+ friends,never,some college,2
Good,Q4 (Highest),2-4 drinks/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,weekly,some college,2
Good,Q4 (Highest),0-1 drink/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,never,some college,2
Good,Q2,>4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,sometimes,no highschool,2
Good,Q4 (Highest),0-1 drink/day,Some Activity,7-<9 hours,Q4 (highest),1+ friends,weekly,some college,2
Poor,Q3,2-4 drinks/day,No Activity,1-<5 hours,Q4 (highest),1+ friends,never,some college,2
Good,Q2,>4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,never,no highschool,2
Good,Q3,2-4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,never,no highschool,2
Good,Q2,2-4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,weekly,some college,2
Good,Q4 (Highest),0-1 drink/day,No Activity,7-<9 hours,Q1 (lowest),1+ friends,sometimes,some college,2
Poor,Q2,0-1 drink/day,No Activity,5-<7 hours,Q1 (lowest),1+ friends,weekly,no highschool,2
Good,Q1 (Lowest),2-4 drinks/day,No Activity,5-<7 hours,Q4 (highest),1+ friends,weekly,some college,2
Poor,Q2,2-4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,never,some college,2
Good,Q4 (Highest),0-1 drink/day,No Activity,7-<9 hours,Q1 (lowest),1+ friends,weekly,some college,2
Poor,Q2,0-1 drink/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,never,high school,2
Poor,Q1 (Lowest),0-1 drink/day,No Activity,5-<7 hours,Q4 (highest),1+ friends,sometimes,high school,2
Good,Q4 (Highest),0-1 drink/day,No Activity,7-<9 hours,Q1 (lowest),1+ friends,never,some college,2
Poor,Q1 (Lowest),0-1 drink/day,No Activity,5-<7 hours,Q4 (highest),1+ friends,weekly,no highschool,2
Poor,Q4 (Highest),2-4 drinks/day,Some Activity,1-<5 hours,Q4 (highest),1+ friends,sometimes,some college,2
Poor,Q2,>4 drinks/day,No Activity,7-<9 hours,Q1 (lowest),1+ friends,never,high school,2
Good,Q4 (Highest),2-4 drinks/day,No Activity,7-<9 hours,Q1 (lowest),1+ friends,sometimes,some college,2
Poor,Q2,0-1 drink/day,No Activity,7-<9 hours,Q1 (lowest),1+ friends,never,some college,2
Poor,Q2,0-1 drink/day,No Activity,7-<9 hours,Q1 (lowest),1+ friends,weekly,no highschool,2
Poor,Q2,>4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,never,no highschool,2
Poor,Q1 (Lowest),0-1 drink/day,No Activity,7-<9 hours,Q1 (lowest),1+ friends,never,no highschool,2
Poor,Q3,0-1 drink/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,never,some college,2
Good,Q4 (Highest),2-4 drinks/day,No Activity,7-<9 hours,Q4 (highest),1+ friends,sometimes,some college,2
Poor,Q2,0-1 drink/day,No Activity,7-<9 hours,Q4 (highest),1+ friends,weekly,no highschool,2
Poor,Q4 (Highest),2-4 drinks/day,Some Activity,5-<7 hours,Q1 (lowest),1+ friends,never,some college,2
Good,Q3,0-1 drink/day,Some Activity,5-<7 hours,Q1 (lowest),1+ friends,sometimes,some college,2
Poor,Q2,2-4 drinks/day,Some Activity,7-<9 hours,Q4 (highest),1+ friends,never,some college,2
Poor,Q4 (Highest),2-4 drinks/day,Some Activity,5-<7 hours,Q1 (lowest),1+ friends,sometimes,some college,2
Good,Q1 (Lowest),2-4 drinks/day,No Activity,≥9 hours,Q1 (lowest),1+ friends,never,no highschool,2
Good,Q1 (Lowest),0-1 drink/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,weekly,some college,2
Poor,Q2,2-4 drinks/day,Some Activity,7-<9 hours,Q4 (highest),1+ friends,weekly,high school,2
Poor,Q4 (Highest),2-4 drinks/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,weekly,some college,2
Good,Q1 (Lowest),0-1 drink/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,never,some college,2
Good,Q2,0-1 drink/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,weekly,some college,2
Poor,Q4 (Highest),2-4 drinks/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,sometimes,some college,2
Poor,Q2,>4 drinks/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,never,no highschool,2
Poor,Q2,2-4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,never,high school,2
Good,Q3,2-4 drinks/day,Some Activity,7-<9 hours,Q4 (highest),1+ friends,never,some college,2
Poor,Q3,0-1 drink/day,No Activity,5-<7 hours,Q4 (highest),1+ friends,sometimes,high school,2
Good,Q3,0-1 drink/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,never,some college,2
Poor,Q3,>4 drinks/day,No Activity,1-<5 hours,Q4 (highest),1+ friends,never,high school,2
Poor,Q3,0-1 drink/day,Some Activity,7-<9 hours,Q4 (highest),1+ friends,weekly,some college,2
Poor,Q1 (Lowest),2-4 drinks/day,No Activity,1-<5 hours,Q4 (highest),1+ friends,never,high school,2
Poor,Q2,0-1 drink/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,sometimes,some college,2
Poor,Q4 (Highest),2-4 drinks/day,Some Activity,7-<9 hours,Q4 (highest),1+ friends,never,some college,2
Poor,Q3,>4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,never,some college,2
Poor,Q4 (Highest),0-1 drink/day,Some Activity,5-<7 hours,Q1 (lowest),1+ friends,never,some college,2
Poor,Q4 (Highest),2-4 drinks/day,Some Activity,7-<9 hours,Q4 (highest),1+ friends,weekly,some college,2
Good,Q4 (Highest),2-4 drinks/day,Some Activity,5-<7 hours,Q1 (lowest),1+ friends,sometimes,high school,1
Good,Q1 (Lowest),2-4 drinks/day,Some Activity,≥9 hours,Q1 (lowest),1+ friends,weekly,some college,1
Good,Q4 (Highest),2-4 drinks/day,No Activity,≥9 hours,Q1 (lowest),1+ friends,never,some college,1
Poor,Q3,2-4 drinks/day,No Activity,7-<9 hours,Q1 (lowest),0 friends,never,high school,1
Poor,Q2,2-4 drinks/day,Some Activity,1-<5 hours,Q4 (highest),1+ friends,weekly,no highschool,1
Good,Q4 (Highest),2-4 drinks/day,No Activity,≥9 hours,Q4 (highest),1+ friends,weekly,some college,1
Good,Q4 (Highest),2-4 drinks/day,No Activity,7-<9 hours,Q4 (highest),1+ friends,sometimes,high school,1
Poor,Q4 (Highest),0-1 drink/day,Some Activity,≥9 hours,Q4 (highest),1+ friends,never,high school,1
Good,Q2,2-4 drinks/day,Some Activity,≥9 hours,Q4 (highest),1+ friends,sometimes,no highschool,1
Poor,Q4 (Highest),2-4 drinks/day,No Activity,5-<7 hours,Q4 (highest),0 friends,sometimes,some college,1
Poor,Q1 (Lowest),>4 drinks/day,No Activity,1-<5 hours,Q4 (highest),1+ friends,never,no highschool,1
Good,Q2,2-4 drinks/day,Some Activity,≥9 hours,Q4 (highest),1+ friends,sometimes,some college,1
Good,Q1 (Lowest),2-4 drinks/day,Some Activity,≥9 hours,Q1 (lowest),1+ friends,sometimes,some college,1
Good,Q4 (Highest),2-4 drinks/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,never,high school,1
Poor,Q3,2-4 drinks/day,No Activity,7-<9 hours,Q1 (lowest),1+ friends,never,some college,1
Good,Q4 (Highest),2-4 drinks/day,No Activity,≥9 hours,Q1 (lowest),1+ friends,never,no highschool,1
Poor,Q1 (Lowest),>4 drinks/day,No Activity,1-<5 hours,Q4 (highest),1+ friends,never,high school,1
Poor,Q2,2-4 drinks/day,No Activity,7-<9 hours,Q4 (highest),1+ friends,weekly,some college,1
Poor,Q2,2-4 drinks/day,Some Activity,1-<5 hours,Q4 (highest),1+ friends,weekly,high school,1
Poor,Q3,2-4 drinks/day,No Activity,7-<9 hours,Q4 (highest),1+ friends,never,some college,1
Poor,Q3,2-4 drinks/day,No Activity,1-<5 hours,Q4 (highest),1+ friends,sometimes,high school,1
Poor,Q4 (Highest),2-4 drinks/day,No Activity,5-<7 hours,Q1 (lowest),1+ friends,never,high school,1
Good,Q4 (Highest),2-4 drinks/day,Some Activity,5-<7 hours,Q1 (lowest),1+ friends,never,some college,1
Poor,Q1 (Lowest),>4 drinks/day,No Activity,5-<7 hours,Q4 (highest),1+ friends,never,high school,1
Poor,Q3,2-4 drinks/day,No Activity,1-<5 hours,Q4 (highest),1+ friends,never,no highschool,1
Poor,Q3,2-4 drinks/day,No Activity,1-<5 hours,Q4 (highest),1+ friends,never,high school,1
Poor,Q2,2-4 drinks/day,Some Activity,1-<5 hours,Q4 (highest),1+ friends,sometimes,no highschool,1
Poor,Q4 (Highest),2-4 drinks/day,No Activity,1-<5 hours,Q4 (highest),1+ friends,never,some college,1
Poor,Q3,2-4 drinks/day,No Activity,7-<9 hours,Q4 (highest),1+ friends,sometimes,no highschool,1
Good,Q2,>4 drinks/day,No Activity,5-<7 hours,Q1 (lowest),1+ friends,never,high school,1
Poor,Q3,2-4 drinks/day,No Activity,5-<7 hours,Q1 (lowest),1+ friends,never,some college,1
Good,Q3,2-4 drinks/day,Some Activity,≥9 hours,Q1 (lowest),1+ friends,weekly,no highschool,1
Poor,Q3,2-4 drinks/day,No Activity,7-<9 hours,Q4 (highest),1+ friends,sometimes,high school,1
Good,Q3,2-4 drinks/day,Some Activity,7-<9 hours,Q4 (highest),1+ friends,sometimes,some college,1
Good,Q1 (Lowest),>4 drinks/day,No Activity,1-<5 hours,Q4 (highest),1+ friends,never,no highschool,1
Poor,Q3,2-4 drinks/day,No Activity,5-<7 hours,Q4 (highest),1+ friends,never,high school,1
Good,Q4 (Highest),2-4 drinks/day,Some Activity,5-<7 hours,Q1 (lowest),1+ friends,sometimes,no highschool,1
Poor,Q4 (Highest),0-1 drink/day,Some Activity,≥9 hours,Q1 (lowest),1+ friends,weekly,some college,1
Good,Q1 (Lowest),2-4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,sometimes,high school,1
Poor,Q4 (Highest),2-4 drinks/day,No Activity,5-<7 hours,Q4 (highest),1+ friends,never,some college,1
Poor,Q2,2-4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,never,no highschool,1
Poor,Q1 (Lowest),2-4 drinks/day,Some Activity,5-<7 hours,Q1 (lowest),1+ friends,sometimes,no highschool,1
Good,Q3,2-4 drinks/day,Some Activity,5-<7 hours,Q1 (lowest),1+ friends,never,high school,1
Good,Q4 (Highest),2-4 drinks/day,Some Activity,≥9 hours,Q4 (highest),1+ friends,weekly,no highschool,1
Good,Q1 (Lowest),2-4 drinks/day,Some Activity,1-<5 hours,Q4 (highest),0 friends,never,no highschool,1
Good,Q1 (Lowest),2-4 drinks/day,Some Activity,1-<5 hours,Q4 (highest),0 friends,sometimes,high school,1
Poor,Q4 (Highest),2-4 drinks/day,Some Activity,1-<5 hours,Q1 (lowest),0 friends,sometimes,some college,1
Poor,Q2,2-4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),0 friends,never,no highschool,1
Good,Q1 (Lowest),2-4 drinks/day,Some Activity,1-<5 hours,Q4 (highest),1+ friends,never,some college,1
Good,Q1 (Lowest),2-4 drinks/day,Some Activity,1-<5 hours,Q4 (highest),1+ friends,sometimes,no highschool,1
Poor,Q2,2-4 drinks/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,weekly,no highschool,1
Poor,Q1 (Lowest),2-4 drinks/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,never,no highschool,1
Poor,Q2,2-4 drinks/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,weekly,high school,1
Poor,Q1 (Lowest),2-4 drinks/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,sometimes,high school,1
Poor,Q1 (Lowest),2-4 drinks/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,sometimes,no highschool,1
Poor,Q2,2-4 drinks/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,sometimes,high school,1
Poor,Q3,0-1 drink/day,Some Activity,7-<9 hours,Q4 (highest),1+ friends,sometimes,high school,1
Poor,Q2,2-4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,sometimes,high school,1
Good,Q3,2-4 drinks/day,Some Activity,7-<9 hours,Q4 (highest),1+ friends,never,high school,1
Poor,Q2,2-4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,weekly,high school,1
Poor,Q4 (Highest),2-4 drinks/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,never,high school,1
Poor,Q3,0-1 drink/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,sometimes,no highschool,1
Poor,Q3,0-1 drink/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,weekly,high school,1
Poor,Q3,0-1 drink/day,Some Activity,7-<9 hours,Q1 (lowest),0 friends,never,high school,1
Poor,Q4 (Highest),2-4 drinks/day,Some Activity,5-<7 hours,Q1 (lowest),1+ friends,weekly,some college,1
Poor,Q4 (Highest),2-4 drinks/day,Some Activity,5-<7 hours,Q1 (lowest),1+ friends,never,no highschool,1
Poor,Q2,2-4 drinks/day,Some Activity,7-<9 hours,Q4 (highest),1+ friends,never,no highschool,1
Poor,Q2,2-4 drinks/day,Some Activity,7-<9 hours,Q4 (highest),1+ friends,never,high school,1
Poor,Q3,0-1 drink/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,never,no highschool,1
Poor,Q1 (Lowest),2-4 drinks/day,Some Activity,1-<5 hours,Q4 (highest),1+ friends,never,no highschool,1
Poor,Q1 (Lowest),2-4 drinks/day,Some Activity,1-<5 hours,Q4 (highest),1+ friends,never,some college,1
Poor,Q3,0-1 drink/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,sometimes,high school,1
Good,Q1 (Lowest),2-4 drinks/day,No Activity,≥9 hours,Q4 (highest),1+ friends,never,some college,1
Poor,Q3,0-1 drink/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,weekly,no highschool,1
Poor,Q4 (Highest),2-4 drinks/day,Some Activity,1-<5 hours,Q4 (highest),1+ friends,never,some college,1
Poor,Q1 (Lowest),2-4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),0 friends,never,no highschool,1
Good,Q3,2-4 drinks/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,never,high school,1
Good,Q1 (Lowest),2-4 drinks/day,Some Activity,5-<7 hours,Q1 (lowest),1+ friends,never,no highschool,1
Good,Q3,2-4 drinks/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,never,some college,1
Poor,Q1 (Lowest),2-4 drinks/day,Some Activity,7-<9 hours,Q4 (highest),1+ friends,sometimes,no highschool,1
Good,Q3,2-4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,never,some college,1
Good,Q1 (Lowest),2-4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,never,no highschool,1
Good,Q4 (Highest),2-4 drinks/day,No Activity,7-<9 hours,Q4 (highest),1+ friends,never,no highschool,1
Poor,Q1 (Lowest),2-4 drinks/day,Some Activity,7-<9 hours,Q4 (highest),1+ friends,weekly,no highschool,1
Good,Q3,2-4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,sometimes,no highschool,1
Good,Q1 (Lowest),2-4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,weekly,some college,1
Good,Q3,2-4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,sometimes,some college,1
Good,Q4 (Highest),2-4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,never,high school,1
Poor,Q4 (Highest),2-4 drinks/day,No Activity,7-<9 hours,Q1 (lowest),1+ friends,never,high school,1
Good,Q1 (Lowest),2-4 drinks/day,Some Activity,7-<9 hours,Q4 (highest),1+ friends,sometimes,no highschool,1
Poor,Q4 (Highest),2-4 drinks/day,No Activity,5-<7 hours,Q4 (highest),1+ friends,weekly,some college,1
Good,Q4 (Highest),2-4 drinks/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,sometimes,some college,1
Poor,Q1 (Lowest),2-4 drinks/day,Some Activity,≥9 hours,Q1 (lowest),1+ friends,sometimes,no highschool,1
Poor,Q4 (Highest),2-4 drinks/day,No Activity,5-<7 hours,Q4 (highest),1+ friends,sometimes,some college,1
Good,Q3,2-4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,never,high school,1
Poor,Q4 (Highest),2-4 drinks/day,No Activity,7-<9 hours,Q4 (highest),1+ friends,never,some college,1
Poor,Q1 (Lowest),2-4 drinks/day,Some Activity,7-<9 hours,Q4 (highest),1+ friends,never,high school,1
Good,Q3,2-4 drinks/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,weekly,no highschool,1
Poor,Q1 (Lowest),2-4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,never,high school,1
Poor,Q1 (Lowest),2-4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,never,no highschool,1
Good,Q3,2-4 drinks/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,sometimes,some college,1
Poor,Q1 (Lowest),2-4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,sometimes,no highschool,1
Poor,Q1 (Lowest),2-4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,sometimes,some college,1
Poor,Q1 (Lowest),2-4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,weekly,high school,1
Poor,Q2,2-4 drinks/day,Some Activity,5-<7 hours,Q4 (highest),0 friends,sometimes,high school,1
Poor,Q4 (Highest),2-4 drinks/day,No Activity,7-<9 hours,Q4 (highest),1+ friends,sometimes,some college,1
Good,Q4 (Highest),2-4 drinks/day,Some Activity,7-<9 hours,Q4 (highest),1+ friends,sometimes,some college,1
Good,Q4 (Highest),2-4 drinks/day,Some Activity,7-<9 hours,Q4 (highest),1+ friends,never,some college,1
Good,Q1 (Lowest),2-4 drinks/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,sometimes,no highschool,1
Poor,Q3,0-1 drink/day,Some Activity,≥9 hours,Q4 (highest),1+ friends,weekly,high school,1
Poor,Q4 (Highest),2-4 drinks/day,No Activity,7-<9 hours,Q4 (highest),1+ friends,weekly,no highschool,1
